what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1331254978689
os,sysinfo,,,"win32",1331254978693
arch,sysinfo,,,"x86",1331254978693
ws,sysinfo,,,"win32",1331254978693
locale,sysinfo,,,"en_US",1331254978693
processors,sysinfo,,,"2",1331254978693
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1331254978693
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1331254978693
java.specification.name,sysinfo,,,"Java Platform API Specification",1331254978693
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331254978693
java.specification.version,sysinfo,,,"1.6",1331254978693
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1331254978693
java.version,sysinfo,,,"1.6.0_26",1331254978693
java.vm.info,sysinfo,,,"mixed mode, sharing",1331254978693
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1331254978693
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1331254978693
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331254978693
java.vm.specification.version,sysinfo,,,"1.0",1331254978693
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1331254978693
java.vm.version,sysinfo,,,"20.1-b02",1331254978693
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1331254978736
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1331254978738
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1331254978743
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1331254978749
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1331254978788
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331255969781
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331256600698
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331256671924
